,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
21872,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
21873,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21874,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
21875,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
21876,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21877,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21878,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21879,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21880,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21881,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Training and Teaching Others
21882,Handling and Moving Objects,Thinking Creatively,Thinking Creatively,Handling and Moving Objects,Thinking Creatively
21883,Controlling Machines and Processes,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
21884,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
21885,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
21886,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
21887,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21888,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
21889,Repairing and Maintaining Mechanical Equipment,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
21890,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment
21891,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21892,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21893,Processing Information,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
21894,Monitoring and Controlling Resources,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
21895,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
21896,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21897,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Judging the Qualities of Objects, Services, or People",Monitoring and Controlling Resources,Making Decisions and Solving Problems,"Inspecting Equipment, Structures, or Materials"
21898,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Judging the Qualities of Objects, Services, or People",Monitoring and Controlling Resources,Making Decisions and Solving Problems,"Inspecting Equipment, Structures, or Materials"
21899,Processing Information,"Judging the Qualities of Objects, Services, or People",Monitoring and Controlling Resources,Making Decisions and Solving Problems,"Inspecting Equipment, Structures, or Materials"
21900,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities
21901,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities
21902,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities
21903,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
21904,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21905,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21906,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Thinking Creatively
21907,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21908,Documenting/Recording Information,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21909,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21910,Handling and Moving Objects,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Handling and Moving Objects,Performing General Physical Activities
21911,"Identifying Objects, Actions, and Events",Handling and Moving Objects,Handling and Moving Objects,Documenting/Recording Information,Handling and Moving Objects
21912,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21913,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21914,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21915,Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21916,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21917,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21918,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
21919,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21920,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21921,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21922,Making Decisions and Solving Problems,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21923,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21924,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Getting Information,Handling and Moving Objects
21925,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Getting Information,Handling and Moving Objects
21926,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21927,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21928,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21929,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21930,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21931,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
21932,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21933,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information",Analyzing Data or Information,Handling and Moving Objects,Analyzing Data or Information
21934,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes
21935,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes
21936,Controlling Machines and Processes,Handling and Moving Objects,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes
21937,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
21938,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
21939,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
21940,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
21941,Handling and Moving Objects,Performing General Physical Activities,Selling or Influencing Others,Interpreting the Meaning of Information for Others,Performing General Physical Activities
21942,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21943,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21944,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities
21945,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21946,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21947,Handling and Moving Objects,Assisting and Caring for Others,Handling and Moving Objects,Assisting and Caring for Others,Handling and Moving Objects
21948,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21949,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21950,Handling and Moving Objects,Assisting and Caring for Others,Assisting and Caring for Others,Handling and Moving Objects,"Communicating with Supervisors, Peers, or Subordinates"
21951,Handling and Moving Objects,Assisting and Caring for Others,Assisting and Caring for Others,Handling and Moving Objects,Assisting and Caring for Others
21952,Handling and Moving Objects,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Handling and Moving Objects,Handling and Moving Objects
21953,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21954,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21955,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities
21956,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities
21957,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Assisting and Caring for Others,Performing General Physical Activities
21958,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21959,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21960,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
21961,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
21962,Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
21963,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes
21964,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21965,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21966,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21967,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21968,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21969,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities
21970,Working with Computers,Controlling Machines and Processes,Working with Computers,Controlling Machines and Processes,Controlling Machines and Processes
21971,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
21972,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
21973,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21974,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
21975,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
21976,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21977,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21978,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21979,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
21980,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
21981,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
21982,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
21983,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
21984,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes
21985,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
21986,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
21987,"Monitoring Processes, Materials, or Surroundings",Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings",Controlling Machines and Processes,Controlling Machines and Processes
21988,"Inspecting Equipment, Structures, or Materials",Monitoring and Controlling Resources,Monitoring and Controlling Resources,Making Decisions and Solving Problems,Handling and Moving Objects
21989,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Monitoring and Controlling Resources,Monitoring and Controlling Resources,Making Decisions and Solving Problems,Handling and Moving Objects
21990,Processing Information,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Making Decisions and Solving Problems,Handling and Moving Objects
21991,Making Decisions and Solving Problems,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information"
21992,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials",Monitoring and Controlling Resources,"Inspecting Equipment, Structures, or Materials"
21993,Making Decisions and Solving Problems,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials",Monitoring and Controlling Resources,"Inspecting Equipment, Structures, or Materials"
21994,"Communicating with Supervisors, Peers, or Subordinates","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials",Monitoring and Controlling Resources,"Inspecting Equipment, Structures, or Materials"
21995,Handling and Moving Objects,Thinking Creatively,Thinking Creatively,Handling and Moving Objects,Controlling Machines and Processes
21996,Handling and Moving Objects,Handling and Moving Objects,Documenting/Recording Information,Documenting/Recording Information,Handling and Moving Objects
21997,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
21998,Handling and Moving Objects,Documenting/Recording Information,Documenting/Recording Information,Communicating with People Outside the Organization,Handling and Moving Objects
21999,Handling and Moving Objects,Controlling Machines and Processes,Working with Computers,Controlling Machines and Processes,Controlling Machines and Processes
22000,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22001,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22002,Handling and Moving Objects,Handling and Moving Objects,Assisting and Caring for Others,Handling and Moving Objects,Handling and Moving Objects
22003,Handling and Moving Objects,Handling and Moving Objects,Assisting and Caring for Others,Handling and Moving Objects,Handling and Moving Objects
22004,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22005,Performing General Physical Activities,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22006,Performing General Physical Activities,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22007,Handling and Moving Objects,Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings","Estimating the Quantifiable Characteristics of Products, Events, or Information",Controlling Machines and Processes
22008,Controlling Machines and Processes,Thinking Creatively,Handling and Moving Objects,Communicating with People Outside the Organization,Handling and Moving Objects
22009,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials",Handling and Moving Objects
22010,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22011,Handling and Moving Objects,Thinking Creatively,Thinking Creatively,Controlling Machines and Processes,Handling and Moving Objects
22012,Performing Administrative Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22013,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
22014,Working with Computers,Controlling Machines and Processes,Working with Computers,Controlling Machines and Processes,Controlling Machines and Processes
22015,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
22016,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22017,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22018,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22019,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
22020,Working with Computers,Working with Computers,Processing Information,Controlling Machines and Processes,Controlling Machines and Processes
22021,Working with Computers,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
22022,Handling and Moving Objects,Handling and Moving Objects,Thinking Creatively,Controlling Machines and Processes,Handling and Moving Objects
22023,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
22024,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
22025,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
22026,Controlling Machines and Processes,Documenting/Recording Information,Documenting/Recording Information,Processing Information,Documenting/Recording Information
22027,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
22028,"Inspecting Equipment, Structures, or Materials",Evaluating Information to Determine Compliance with Standards,Evaluating Information to Determine Compliance with Standards,"Judging the Qualities of Objects, Services, or People",Evaluating Information to Determine Compliance with Standards
22029,Working with Computers,Making Decisions and Solving Problems,Working with Computers,Working with Computers,Thinking Creatively
22030,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes
22031,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,"Guiding, Directing, and Motivating Subordinates",Handling and Moving Objects
22032,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
22033,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
22034,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
22035,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
22036,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Judging the Qualities of Objects, Services, or People","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
22037,"Inspecting Equipment, Structures, or Materials",Analyzing Data or Information,"Inspecting Equipment, Structures, or Materials",Analyzing Data or Information,"Inspecting Equipment, Structures, or Materials"
22038,Controlling Machines and Processes,Thinking Creatively,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22039,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22040,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22041,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22042,Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,Controlling Machines and Processes
22043,Working with Computers,Working with Computers,Working with Computers,Working with Computers,Thinking Creatively
22044,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
22045,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
22046,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
22047,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22048,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22049,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22050,"Monitoring Processes, Materials, or Surroundings",Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
22051,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Working with Computers
22052,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Working with Computers
22053,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Working with Computers
22054,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22055,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
22056,Working with Computers,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
22057,Making Decisions and Solving Problems,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information",Analyzing Data or Information
22058,Working with Computers,Working with Computers,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates",Working with Computers
22059,"Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings"
22060,Working with Computers,Handling and Moving Objects,Working with Computers,Handling and Moving Objects,Handling and Moving Objects
22061,Working with Computers,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
22062,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
22063,Getting Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information,Thinking Creatively
22064,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
22065,Handling and Moving Objects,"Guiding, Directing, and Motivating Subordinates",Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
22066,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
22067,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
22068,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
22069,Performing General Physical Activities,Processing Information,Processing Information,Performing General Physical Activities,Handling and Moving Objects
22070,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
22071,Working with Computers,Handling and Moving Objects,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Handling and Moving Objects
22072,Working with Computers,Working with Computers,Working with Computers,Performing Administrative Activities,Working with Computers
22073,Working with Computers,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
22074,Working with Computers,Working with Computers,Working with Computers,Thinking Creatively,Working with Computers
22075,Working with Computers,Working with Computers,Working with Computers,Thinking Creatively,Working with Computers
22076,Working with Computers,Working with Computers,Thinking Creatively,Thinking Creatively,Thinking Creatively
22077,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
22078,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
